FullTaxonomicRank                             sigma1_out.gvector.txt   sigma2_out.gvector.txt   sigma3_out.gvector.txt   sigma4_out.gvector.txt 
2,1224,1236,135625,712,416916,714             0.019249524470386907005  0.039709535910538280856  0.035995346229764114965  0.064217572859351201853
2,1224,1236,72274,468,469,40214               0.010413102559934508951  0.00000000000000000000   0.00000000000000000000   0.00000000000000000000 
2,1224,1236,72274,468,469,40216               2.0208171754367998396    1.6113292856732224223    1.2928342417562332933    1.9509550934015460477  
2,1224,1236,72274,468,497,334543              5.5244177561051657221    3.181320271087071383     2.088128688659608212     3.5049833825093381634  
2,1239,186801,186802,186806,113286,113287     13.307447959237842738    3.0539465453587100185    1.853699341918678023     8.9517653544793791554  
2,1239,526524,526525,128827,123375,102148     1.2736051721993704167    20.636040589678028567    4.5498419083252485962    5.4093642353854649585  
2,1239,91061,1385,1378,1379                   0.66672961861497637148   0.71778454119225165719   0.2002201610399215459    1.2581949703117918382  
2,1239,91061,1385,90964,1279,1283             4.5886214445879716095    3.0152037812082537194    2.2023630641583658019    3.8446650919611302655  
2,1239,91061,1385,90964,1279,1286             0.03379073094979909847   0.015764453931204885223  0.025394434781446866001  0.052303527716866131392
2,1239,91061,1385,90964,1279,1290             0.026563607745062684656  0.011401962289782444429  0.022431717396505301138  0.05024984320063623916 
2,1239,91061,1385,90964,1279,1292             0.011966313759851118781  0.00000000000000000000   0.00000000000000000000   0.015165678078636359721
2,1239,91061,1385,90964,1279,29382            0.36602709354084334015   0.1153166868884435009    0.39928591304596688927   0.81097556333953368934 
2,1239,91061,1385,90964,1279,29385            0.00000000000000000000   0.00000000000000000000   0.00000000000000000000   0.019823292250850371027
2,1239,91061,1385,90964,1279,29388            0.016551326687587953473  0.00000000000000000000   0.018498575579234063232  0.036214934275727264645
2,1239,91061,1385,90964,489909,1232430        0.00000000000000000000   0.00000000000000000000   0.00000000000000000000   0.012543028490830323771
2,1239,91061,186826,1300,1301,119603,1334     0.76476996682071851641   0.51531801565119228492   0.44782847073373599489   0.52067667897747726968 
2,1239,91061,186826,1300,1301,380397          0.014835959212671903651  0.010792586273922899834  0.00000000000000000000   0.010424715859735084536
2,1239,91061,186826,186828,117563,137732      0.00000000000000000000   0.00000000000000000000   0.00000000000000000000   0.012184470425112356104
2,1239,91061,186826,33958,1578,109790         0.034625439717951823904  0.14382935057311815874   0.28432736054048862728   0.12594533821980941068 
2,1239,91061,186826,33958,1578,116089         0.00000000000000000000   0.00000000000000000000   0.016316531939735964829  0.00000000000000000000 
2,201174,1760,85004,31953,2701,2702           0.016066116301563564128  0.01709306885026314754   0.00000000000000000000   0.030613496887657892093
2,201174,84998,1643822,1643826,644652,471189  0.087982460078226465416  0.065129477145593556164  0.040187700088420243161  0.062656373105953691582
2,201174,84998,1643822,1643826,84111,84112    4.3947039886208267845    3.2337385485245428995    2.0358880555946421431    3.10258805185968356    
2,32066,203490,203491,203492,848,850          5.5246994301581464626    2.3743503429322680987    37.093286296548257042    3.1786869895149170162  
2,32066,203490,203491,203492,848,859          0.10891147913250556756   0.081215004934664936087  0.060240441487054645353  0.098019701785490839785
2,976,200643,171549,171550,239759,1118061     0.011148203583653490747  0.00000000000000000000   0.00000000000000000000   0.00000000000000000000 
2,976,200643,171549,171550,239759,328814      0.022803355438720512155  0.011326412657980291024  0.00000000000000000000   0.00000000000000000000 
2,976,200643,171549,171552,1926672,1852370    0.00000000000000000000   0.017337450580087232499  0.00000000000000000000   0.00000000000000000000 
2,976,200643,171549,1853231,1926651,1841857   0.38786636466495333364   0.16364059382588555525   0.099168783614022787409  0.08575112029029641203 
2,976,200643,171549,1853231,283168,28118      0.00000000000000000000   0.015503183516130936842  0.00000000000000000000   0.00000000000000000000 
2,976,200643,171549,815,1926659,1841865       0.02669206007167958597   0.054173938258679429913  0.00000000000000000000   0.012294333178963317427
2,976,200643,171549,815,816,246787            0.020369235433788497602  0.027608730910074884973  0.00000000000000000000   0.00000000000000000000 
2,976,200643,171549,815,816,28116             5.0800193346906388214    2.4441302867593481807    1.1690954847837540242    1.0867293623848450768  
2,976,200643,171549,815,816,291644            0.041863460560096363294  0.11752511382698437037   0.00000000000000000000   0.017306562414628950258
2,976,200643,171549,815,816,291645            0.041873617935401626078  0.034598917729470525517  0.00000000000000000000   0.011433445852302883197
2,976,200643,171549,815,816,310297            0.0357198856913692811    0.01691275430512072589   0.017287865094770517305  0.01641788557962783543 
2,976,200643,171549,815,816,310298            0.13315209006110681478   0.23892421856438417205   0.03323046747970857806   0.052353030581989319636
2,976,200643,171549,815,816,387090            0.01113579108475449761   0.022306273999611690023  0.00000000000000000000   0.00000000000000000000 
2,976,200643,171549,815,816,46506             0.082560517658623558401  0.09480319702009960825   0.029180348114276041804  0.035639867334671927745
2,976,200643,171549,815,816,626930            0.01090915413051491388   0.00000000000000000000   0.00000000000000000000   0.00000000000000000000 
2,976,200643,171549,815,816,820               0.098297030122038289712  0.10757828036186968534   0.051440445378912194596  0.052593138353762232395
2,976,200643,171549,815,816,821               0.015413762045751440086  0.00000000000000000000   0.00000000000000000000   0.00000000000000000000 
